v206,State,Name (corresponds with v552),Party,Senior Sen?,42- 6b. Increase Minimum Wage,127-- 6c. Federal Funding for Embryonic Stem Cell Research,168-- 6d.  Allow U. S. spy agencies to eavesdrop on suspected terrorists without first getting a court order,"353-  6e. Fund a $20 billion program to provide health insurance program for children in families earning <$43,000",163-  6f. Consideration of marriage protection amendment against gay marriage (109th Congress),96-- 6g.  Federal assistance for homeowners facing foreclosure and lending institutions at risk of failing,6h.,Occupation,DOB,Gender
1,Alabama,Jeff Sessions,Republican,N,yes,no,not voting,no,yes,yes,yes,AL Atty Gen,12/24/1946,M
2,Alaska,Lisa Murkowski,Republican,N,yes,yes,yes,yes,yes,yes,yes,AK House of Representatives,5/22/1957,F
4,Arizona,Jon Kyl,Republican,N,no,no,yes,no,yes,no,no,US House (AZ-04),4/25/1942,M
5,Arkansas,Mark L. Pryor,Democratic,N,yes,yes,yes,yes,no,yes,yes,AR Atty Gen,1/10/1963,M
6,California,Barbara Boxer,Democratic,N,yes,yes,no,yes,no,yes,no,US House (CA-06),11/11/1940,F
8,Colorado,Ken Salazar,Democratic,N,yes,yes,yes,yes,no,yes,yes,CO Attorney General,3/2/1955,M
9,Connecticut,Joseph I. Lieberman,Independent,N,yes,yes,yes,yes,no,yes,yes,CT Attorney General,2/24/1942,M
10,Delaware,Thomas R. Carper,Democratic,N,yes,yes,yes,yes,no,yes,yes,Governor of Delaware,1/23/1947,M
12,Florida,Mel Martinez,Republican,N,yes,no,yes,no,yes,yes,yes,Secretary of Housing and Urban Development,10/23/1946,M
13,Georgia,Johnny Isakson,Republican,N,yes,no,yes,no,yes,yes,yes,US House (GA-06),12/28/1944,M
15,Hawaii,Daniel K. Akaka,Democratic,N,yes,yes,no,yes,no,yes,no,US House (HI-02),9/11/1924,M
16,Idaho,Mike Crapo,Republican,N,yes,no,yes,no,yes,no,yes,US House (ID-02),5/20/1951,M
17,Illinois,Barack Obama,Democratic,N,yes,yes,yes,not voting,no,not voting,not voting,IL State Senate,8/4/1961,M
18,Indiana,Evan Bayh,Democratic,N,yes,yes,yes,yes,no,yes,yes,Governor of Indiana,12/26/1955,M
19,Iowa,Tom Harkin,Democratic,N,yes,yes,no,yes,no,yes,no,US House (IA-05),11/19/1939,M
20,Kansas,Pat Roberts,Republican,N,yes,no,yes,yes,yes,yes,yes,US House (KS-01),4/20/1936,M
21,Kentucky,Jim Bunning,Republican,N,yes,no,yes,no,yes,no,yes,US House (KY-04),10/23/1931,M
22,Louisiana,David Vitter,Republican,N,yes,no,yes,no,yes,yes,yes,US House (LA-01),5/3/1961,M
23,Maine,Susan M. Collins,Republican,N,yes,yes,yes,yes,no,yes,yes,NE regional director National Small Business Association,12/7/1952,F
24,Maryland,Ben Cardin,Democratic,N,yes,yes,no,yes,,yes,yes,US House (MD-03),10/5/1943,M
25,Massachusetts,John Kerry,Democratic,N,yes,yes,no,yes,no,yes,yes,"Lt. Governor, Massachusetts",12/11/1943,M
26,Michigan,Debbie Stabenow,Democratic,N,yes,yes,no,yes,no,yes,no,US House (MI-08),4/29/1950,F
27,Minnesota,Amy Klobuchar,Democratic,N,yes,yes,no,yes,,yes,no,Hennepin County Attorney,5/25/1960,F
28,Mississippi,Roger Wicker,Republican,N,,,yes,no,,yes,yes,US House (MS-01),7/5/1951,M
29,Missouri,Claire McCaskill,Democratic,N,yes,yes,yes,yes,,yes,no,"State Auditor, MO",7/24/1953,F
30,Montana,Jon Tester,Democratic,N,yes,yes,no,yes,,yes,no,Montana State Senate,8/21/1956,M
31,Nebraska,E. Benjamin Nelson,Democratic,N,yes,no,yes,yes,yes,yes,yes,"Governor, NE",5/17/1941,M
32,Nevada,John Ensign,Republican,N,yes,no,yes,no,yes,yes,yes,US House (NV-01),3/25/1958,M
33,New Hampshire,John E. Sununu,Republican,N,yes,no,yes,yes,no,yes,yes,US House (NH-01),9/10/1964,M
34,New Jersey,Robert Menendez,Democratic,N,yes,yes,no,yes,no,yes,yes,US House (NJ-13),1/1/1954,M
35,New Mexico,Jeff Bingaman,Democratic,N,yes,yes,no,yes,no,yes,yes,NM Attorney General,10/3/1943,M
36,New York,Hillary Rodham Clinton,Democratic,N,yes,yes,no,yes,no,not voting,not voting,lawyer; First Lady,10/26/1947,F
37,North Carolina,Richard Burr,Republican,N,yes,yes,yes,no,yes,yes,yes,US House (NC-05),11/30/1955,M
38,North Dakota,Byron L. Dorgan,Democratic,N,yes,yes,no,yes,no,yes,no,US House (ND-AL),5/14/1942,M
39,Ohio,Sherrod Brown,Democratic,N,yes,yes,no,yes,,yes,no,US House (OH-13),11/9/1952,M
40,Oklahoma,Tom Coburn,Republican,N,no,no,yes,no,yes,no,yes,US House (OK-02),3/14/1948,M
41,Oregon,Gordon H. Smith,Republican,N,yes,yes,yes,yes,yes,yes,yes,Oregon State Senate,5/25/1952,M
42,Pennsylvania,Robert Casey,Democratic,N,yes,no,yes,yes,,yes,no,Pennsylvania Treasurer,4/13/1960,M
44,Rhode Island,Sheldon Whitehouse,Democratic,N,yes,yes,yes,yes,,yes,no,RI Attorney General,10/20/1955,M
45,South Carolina,Jim DeMint,Republican,N,no,no,yes,no,yes,no,yes,US House (SC-05),9/2/1951,M
46,South Dakota,John Thune,Republican,N,yes,no,yes,no,yes,yes,yes,US House (SD-AL),1/7/1961,M
47,Tennessee,Bob Corker,Republican,N,,no,yes,yes,,no,yes,Mayor of Chattanooga,8/24/1952,M
48,Texas,John Cornyn,Republican,N,yes,no,yes,no,yes,yes,yes,Texas Attorney General,2/2/1952,M
49,Utah,Robert F. Bennett,Republican,N,yes,yes,yes,no,yes,yes,yes,"CEO, Franklin Quest",9/18/1933,M
50,Vermont,"Bernard ""Bernie"" Sanders",Independent,N,yes,yes,no,yes,no,yes,no,US House (VT-AL),9/8/1941,M
51,Virginia,Jim Webb,Democratic,N,yes,yes,yes,yes,,yes,yes,Secretary of the Navy,2/9/1946,M
53,Washington,Maria Cantwell,Democratic,N,yes,yes,no,yes,no,yes,yes,US House (WA-01),10/13/1958,F
54,West Virginia,John D. Rockefeller IV,Democratic,N,yes,yes,yes,yes,not voting,yes,yes,Governor of West Virginia,6/18/1937,M
55,Wisconsin,Russell Feingold,Democratic,N,yes,yes,no,yes,no,yes,no,Wisconsin State Senate,3/2/1953,M
56,Wyoming,John Barrasso,Republican,N,,,yes,no,,no,yes,Wyoming State Senate,7/21/1952,M
